Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1913,-.42,-.46,-.44,-.41,-.45,-.46,-.37,-.35,-.36,-.33,-.21,-.03,-.36,-.39,-.44,-.43,-.39,-.30
1914,.03,-.11,-.25,-.31,-.22,-.27,-.24,-.17,-.17,-.04,-.16,-.05,-.16,-.16,-.03,-.26,-.23,-.13
1915,-.22,-.04,-.11,.06,-.06,-.23,-.13,-.23,-.21,-.25,-.14,-.22,-.15,-.13,-.10,-.04,-.20,-.20
1916,-.14,-.16,-.29,-.32,-.36,-.50,-.38,-.29,-.37,-.34,-.47,-.82,-.37,-.32,-.17,-.32,-.39,-.39
1917,-.58,-.64,-.64,-.56,-.56,-.44,-.26,-.23,-.24,-.45,-.35,-.68,-.47,-.48,-.68,-.58,-.31,-.34
1918,-.49,-.35,-.25,-.45,-.44,-.37,-.32,-.32,-.18,-.07,-.12,-.30,-.30,-.34,-.51,-.38,-.34,-.12
1919,-.21,-.24,-.22,-.14,-.28,-.37,-.30,-.34,-.26,-.21,-.42,-.43,-.28,-.27,-.25,-.21,-.33,-.30
1920,-.26,-.27,-.13,-.25,-.27,-.36,-.31,-.27,-.22,-.27,-.28,-.47,-.28,-.28,-.32,-.22,-.31,-.26
1921,-.06,-.18,-.24,-.31,-.31,-.28,-.16,-.27,-.20,-.04,-.15,-.18,-.20,-.22,-.24,-.29,-.23,-.13
1922,-.34,-.45,-.15,-.24,-.34,-.31,-.28,-.33,-.36,-.32,-.15,-.20,-.29,-.29,-.33,-.24,-.31,-.28
1923,-.28,-.40,-.35,-.42,-.34,-.30,-.31,-.34,-.32,-.14,-.03,-.04,-.27,-.29,-.29,-.37,-.32,-.16
1924,-.23,-.24,-.09,-.31,-.19,-.27,-.29,-.37,-.33,-.36,-.21,-.44,-.28,-.24,-.17,-.20,-.31,-.30
1925,-.38,-.40,-.28,-.26,-.30,-.33,-.27,-.21,-.20,-.18,.05,.06,-.23,-.27,-.41,-.28,-.27,-.11
1926,.21,.02,.11,-.14,-.24,-.27,-.28,-.14,-.15,-.12,-.07,-.30,-.11,-.08,.09,-.09,-.23,-.11
1927,-.28,-.18,-.39,-.31,-.26,-.28,-.19,-.24,-.13,-.01,-.06,-.34,-.22,-.22,-.25,-.32,-.24,-.07
1928,-.02,-.09,-.25,-.29,-.30,-.39,-.20,-.23,-.22,-.19,-.10,-.17,-.20,-.22,-.15,-.28,-.27,-.17
1929,-.45,-.59,-.33,-.42,-.38,-.44,-.37,-.33,-.26,-.15,-.12,-.55,-.37,-.33,-.40,-.38,-.38,-.18
1930,-.31,-.27,-.11,-.25,-.24,-.22,-.22,-.15,-.16,-.12,.17,-.06,-.16,-.20,-.37,-.20,-.20,-.04
1931,-.11,-.21,-.11,-.23,-.20,-.08,-.04,-.04,-.07,.05,-.06,-.05,-.10,-.10,-.12,-.18,-.05,-.03
1932,.15,-.17,-.18,-.06,-.18,-.29,-.25,-.22,-.11,-.09,-.27,-.27,-.16,-.14,-.03,-.14,-.25,-.16
1933,-.24,-.30,-.30,-.25,-.29,-.34,-.21,-.24,-.29,-.25,-.31,-.44,-.29,-.27,-.27,-.28,-.26,-.28
1934,-.21,-.03,-.29,-.31,-.09,-.15,-.11,-.12,-.15,-.07,.03,-.03,-.13,-.16,-.23,-.23,-.13,-.06
1935,-.34,.14,-.14,-.37,-.29,-.27,-.21,-.22,-.21,-.06,-.26,-.17,-.20,-.19,-.07,-.27,-.23,-.18
1936,-.27,-.37,-.21,-.20,-.16,-.22,-.10,-.14,-.09,-.03,.01,-.01,-.15,-.16,-.27,-.19,-.15,-.04
1937,-.07,.03,-.21,-.16,-.06,-.05,-.03,.01,.09,.09,.08,-.07,-.03,-.02,-.02,-.14,-.02,.08
1938,.08,.04,.10,.06,-.10,-.17,-.09,-.06,.01,.14,.07,-.13,.00,.00,.01,.02,-.11,.07
1939,-.05,-.06,-.18,-.10,-.04,-.07,-.06,-.06,-.08,-.04,.07,.42,-.02,-.07,-.08,-.11,-.06,-.02
1940,-.01,.08,.09,.17,.11,.11,.12,.06,.15,.11,.16,.31,.12,.13,.16,.12,.10,.14
1941,.17,.30,.10,.16,.16,.12,.22,.14,.02,.35,.22,.21,.18,.19,.26,.14,.16,.20
1942,.29,.02,.05,.09,.11,.05,.00,-.04,-.03,.01,.09,.12,.06,.07,.17,.08,.00,.02
1943,-.01,.17,-.04,.11,.06,-.05,.08,.00,.05,.23,.19,.23,.09,.08,.09,.04,.01,.16
1944,.35,.24,.26,.19,.18,.15,.17,.18,.28,.26,.11,.03,.20,.22,.27,.21,.17,.22
1945,.10,.01,.06,.19,.06,.00,.04,.26,.20,.18,.07,-.07,.09,.10,.05,.10,.10,.15
1946,.15,.03,.01,.05,-.07,-.21,-.12,-.20,-.08,-.08,-.06,-.31,-.07,-.05,.03,.00,-.18,-.07
1947,-.07,-.08,.06,.06,-.02,-.02,-.04,-.07,-.12,.07,.02,-.13,-.03,-.04,-.15,.03,-.04,-.01
1948,.06,-.14,-.24,-.12,-.01,-.05,-.11,-.12,-.14,-.05,-.13,-.24,-.11,-.10,-.07,-.12,-.09,-.11
1949,.06,-.14,-.02,-.11,-.10,-.27,-.13,-.13,-.14,-.07,-.10,-.18,-.11,-.12,-.10,-.08,-.18,-.10
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.09,-.16,-.12,-.20,-.34,-.22,-.18,-.17,-.24,-.13,-.10,-.22
1951,-.35,-.41,-.20,-.14,-.01,-.06,-.01,.06,.05,.08,-.01,.15,-.07,-.10,-.33,-.12,-.01,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.02,.13,-.03,.02,-.02
1953,.07,.15,.11,.19,.11,.12,.01,.05,.04,.08,-.03,.05,.08,.07,.07,.14,.06,.03
1954,-.24,-.10,-.15,-.14,-.20,-.19,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.13,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.07,-.14
1956,-.13,-.24,-.21,-.28,-.29,-.15,-.09,-.26,-.19,-.23,-.15,-.07,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.05,.00,.09,.15,.02,.15,.09,.01,.08,.15,.05,.03,-.06,.01,.11,.06
1958,.39,.22,.09,.01,.06,-.09,.05,-.05,-.03,.04,.02,.01,.06,.07,.25,.05,-.03,.01
1959,.08,.07,.18,.16,.04,.03,.03,-.01,-.06,-.07,-.08,.00,.03,.03,.05,.13,.02,-.07
1960,.00,.13,-.35,-.15,-.08,-.04,-.04,.02,.07,.06,-.11,.19,-.03,-.04,.04,-.19,-.02,.00
1961,.07,.19,.09,.13,.12,.11,.01,.00,.08,.00,.03,-.16,.06,.09,.15,.11,.04,.04
1962,.05,.15,.10,.05,-.06,.03,.02,-.01,.00,.01,.06,-.03,.03,.02,.01,.03,.01,.02
1963,-.03,.18,-.14,-.07,-.06,.05,.06,.22,.17,.14,.15,-.03,.05,.05,.04,-.09,.11,.16
1964,-.09,-.10,-.21,-.32,-.25,-.04,-.04,-.22,-.29,-.31,-.21,-.30,-.20,-.18,-.07,-.26,-.10,-.27
1965,-.08,-.17,-.13,-.19,-.12,-.08,-.13,-.04,-.15,-.05,-.06,-.08,-.11,-.13,-.18,-.15,-.09,-.09
1966,-.19,-.04,.03,-.13,-.12,.01,.08,-.09,-.03,-.17,-.01,-.03,-.06,-.06,-.10,-.07,.00,-.07
1967,-.07,-.21,.05,-.05,.12,-.08,.02,.01,-.06,.09,-.05,-.05,-.02,-.02,-.10,.04,-.01,-.01
1968,-.26,-.14,.20,-.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.15,-.08,-.08,-.15,.00,-.10,-.05
1969,-.11,-.18,.01,.17,.18,.03,-.05,.04,.08,.09,.12,.24,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.03,-.02,.02,-.10,.12,.03,.02,-.12,.03,.06,.18,.03,-.04,.06
1971,-.02,-.15,-.18,-.07,-.05,-.16,-.07,-.01,-.05,-.04,-.07,-.08,-.08,-.08,-.10,-.10,-.08,-.06
1972,-.22,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.18,.01,-.01,-.16,.00,.07,.04
1973,.29,.32,.29,.27,.23,.19,.13,.05,.09,.10,.04,-.07,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.05,-.11,-.04,-.05,-.03,.10,-.08,-.06,-.08,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.13,.04,.16,-.01,-.01,-.17,-.02,-.11,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.21,-.07,-.20,-.12,-.10,-.12,-.06,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.11,-.12
1977,.19,.23,.24,.26,.33,.27,.20,.18,.02,.03,.16,.03,.18,.19,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.14,.06,.03,.14,.08,.07,.06,.07,.15,-.04,.08
1979,.09,-.10,.19,.15,.03,.14,.04,.17,.25,.26,.28,.47,.16,.13,.02,.13,.11,.26
1980,.29,.39,.29,.30,.35,.20,.22,.18,.20,.13,.29,.21,.26,.28,.39,.31,.20,.21
1981,.53,.42,.48,.32,.24,.29,.32,.35,.15,.12,.23,.41,.32,.31,.39,.35,.32,.16
1982,.05,.15,.03,.15,.18,.05,.14,.03,.14,.13,.18,.43,.14,.14,.20,.12,.08,.15
1983,.53,.43,.42,.27,.34,.23,.18,.36,.37,.17,.30,.17,.31,.34,.46,.34,.26,.28
1984,.31,.14,.26,.06,.33,.02,.19,.19,.21,.13,.06,-.04,.16,.17,.20,.22,.14,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.17,.13,.12,.05,.14,.12,.10,.05,.15,.12,.10
1986,.26,.37,.30,.22,.21,.12,.11,.16,.03,.15,.10,.13,.18,.18,.26,.24,.13,.09
1987,.32,.43,.18,.24,.25,.35,.40,.25,.35,.33,.29,.46,.32,.29,.29,.23,.33,.32
1988,.57,.44,.52,.42,.44,.40,.33,.39,.37,.38,.12,.29,.39,.40,.49,.46,.37,.29
1989,.12,.30,.36,.29,.18,.15,.34,.33,.34,.29,.20,.37,.27,.27,.24,.28,.28,.28
1990,.41,.44,.80,.56,.45,.37,.46,.34,.23,.45,.46,.40,.45,.45,.41,.61,.39,.38
1991,.43,.50,.35,.51,.35,.53,.48,.39,.44,.29,.30,.32,.41,.41,.44,.40,.47,.34
1992,.48,.40,.48,.27,.31,.26,.09,.08,-.01,.07,.03,.22,.22,.23,.40,.36,.14,.03
1993,.35,.37,.36,.28,.28,.23,.25,.11,.11,.24,.04,.18,.23,.24,.31,.31,.20,.13
1994,.26,.02,.29,.42,.28,.44,.30,.22,.31,.43,.44,.39,.32,.30,.16,.33,.32,.39
1995,.52,.79,.47,.47,.27,.43,.45,.45,.33,.46,.44,.26,.45,.46,.57,.40,.45,.41
1996,.24,.46,.33,.33,.28,.26,.37,.48,.25,.22,.42,.37,.33,.32,.32,.31,.37,.30
1997,.32,.41,.52,.34,.35,.54,.34,.41,.52,.61,.65,.59,.47,.45,.37,.40,.43,.59
1998,.58,.88,.63,.64,.68,.77,.66,.65,.42,.42,.43,.55,.61,.61,.68,.65,.69,.42
1999,.48,.64,.32,.32,.27,.36,.38,.31,.39,.34,.37,.41,.38,.39,.56,.30,.35,.37
2000,.25,.56,.55,.56,.36,.40,.39,.43,.39,.27,.30,.28,.39,.40,.41,.49,.40,.32
2001,.45,.44,.56,.50,.58,.52,.59,.49,.52,.50,.72,.55,.53,.51,.39,.55,.53,.58
2002,.77,.79,.88,.58,.64,.53,.62,.54,.64,.54,.59,.44,.63,.64,.70,.70,.56,.59
2003,.74,.59,.60,.55,.61,.48,.58,.65,.62,.72,.53,.75,.62,.59,.59,.59,.57,.63
2004,.58,.73,.63,.61,.37,.44,.26,.45,.50,.61,.73,.51,.53,.55,.68,.54,.38,.61
2005,.75,.60,.74,.67,.63,.65,.61,.60,.72,.76,.74,.68,.68,.67,.62,.68,.62,.74
2006,.56,.74,.63,.47,.48,.66,.54,.70,.66,.70,.74,.79,.64,.63,.66,.53,.64,.70
2007,1.02,.70,.72,.76,.69,.61,.60,.60,.60,.59,.59,.50,.67,.69,.84,.72,.60,.59
2008,.30,.38,.75,.54,.50,.50,.60,.46,.61,.67,.69,.54,.55,.54,.39,.60,.52,.66
2009,.65,.53,.54,.61,.65,.64,.74,.69,.72,.66,.79,.67,.66,.65,.57,.60,.69,.72
2010,.75,.84,.93,.85,.76,.68,.63,.67,.63,.72,.81,.45,.73,.75,.75,.84,.66,.72
2011,.53,.48,.66,.65,.53,.62,.70,.75,.56,.66,.59,.60,.61,.60,.49,.61,.69,.60
2012,.47,.49,.57,.73,.79,.65,.59,.66,.73,.80,.79,.53,.65,.65,.52,.69,.63,.77
2013,.71,.62,.68,.53,.60,.70,.60,.71,.77,.70,.84,.70,.68,.67,.62,.60,.67,.77
2014,.77,.55,.78,.81,.87,.67,.58,.84,.88,.81,.67,.79,.75,.74,.67,.82,.70,.79
2015,.87,.91,.96,.76,.80,.82,.73,.80,.84,1.08,1.06,1.17,.90,.87,.86,.84,.78,.99
2016,1.18,1.37,1.36,1.09,.96,.81,.84,1.02,.90,.87,.92,.86,1.02,1.04,1.24,1.14,.89,.90
2017,1.03,1.14,1.17,.94,.92,.71,.82,.87,.75,.89,.88,.93,.92,.92,1.01,1.01,.80,.84
2018,.82,.85,.89,.89,.82,.77,.83,.79,.81,1.02,.84,.93,.85,.85,.87,.86,.80,.89
2019,.93,.96,1.17,1.01,.87,.91,.94,.95,.93,.99,.99,1.12,.98,.96,.94,1.02,.93,.97
2020,1.18,1.24,1.18,1.12,1.00,.92,.89,.86,.97,.87,1.09,.80,1.01,1.04,1.18,1.10,.89,.98
2021,.82,.64,.89,.76,.80,.85,.92,.81,.92,.99,.92,.88,.85,.84,.75,.82,.86,.94
2022,.91,.89,1.05,.83,.84,.93,.94,.95,.89,.97,.73,.80,.89,.90,.89,.91,.94,.86
2023,.88,.97,1.23,.99,.94,1.09,1.19,1.19,1.48,1.34,1.42,1.37,1.17,1.13,.88,1.06,1.16,1.41
2024,1.26,1.45,1.39,1.32,1.16,1.24,1.20,1.30,1.23,1.34,1.29,1.27,1.29,1.30,1.36,1.29,1.25,1.29
2025,1.37,1.26,1.36,***,***,***,***,***,***,***,***,***,***,***,1.30,***,***,***
